Date,SkewAvg_1_10,SkewAvg_1_3,SkewAvg_4_7,SkewAvg_8_10,SkewBKM
1996-01-10,-1.3409108016244418,-1.335413669964886,-1.5590131979590645,-1.055604738171167,-1.5783448859999998
1996-01-17,-1.3709200486824409,-1.208915449501217,-1.539783640541614,-1.3077731920514333,-1.4215756342
1996-01-24,-1.31636533962608,-1.1972580668478032,-1.5208188766192932,-1.1628678964134065,-1.3517886908
1996-01-31,-1.2839845657629698,-1.2829011147938008,-1.457398326748568,-1.053849668751341,-1.3224928036
1996-02-07,-1.3052377749228437,-1.4620310289020364,-1.365780743006452,-1.06772056349884,-1.4858148623999998
1996-02-14,-1.6154973114594884,-1.4986424930193167,-1.681609727152722,-1.6442022423086828,-1.3991268656000002
1996-02-21,-0.774999522490905,-0.9934345475699492,-0.8060623109894389,-0.5151474460804826,-1.0519105345
1996-02-28,-0.927022248120504,-0.9167918079531016,-0.9734175656623564,-0.875392264898769,-1.0123428026
1996-03-06,-0.902865068170992,-0.9689072428016172,-0.8815519929748957,-0.8652403271351622,-0.9466785194
1996-03-13,-1.2193449850439682,-1.4096554301469122,-1.1663321883666309,-1.0997182688441414,-1.311346717
1996-03-20,-0.92680626993031,-1.1068880964324737,-1.0530004823090728,-0.5784654935897962,-1.15896213
1996-03-27,-1.2466385014787758,-1.2920440511997136,-1.3170882652022318,-1.1072999334598963,-1.3330541514
1996-04-03,-1.3821471034570585,-1.3193016658493362,-1.6090626768443683,-1.1424384432150334,-1.4480625392
1996-04-10,-1.6373659841214536,-1.4887993804254582,-1.6890856857614034,-1.7169729856308498,-1.6631104345
1996-04-17,-1.5348495556308126,-1.3558495710997525,-1.68456748544927,-1.5142256337372628,-1.4592290179999998
1996-04-24,-1.5175804773171273,-1.3661735449733663,-1.7023841871237215,-1.4225824632520958,-1.5387366268
1996-05-01,-1.5288733032774366,-1.4115397790947737,-1.6716748229289875,-1.4558048012580325,-1.4839033632
1996-05-08,-1.6467672613304742,-1.444780396439984,-1.8453128664763003,-1.5840266526931974,-1.5424209485999998
1996-05-15,-1.3259496406548184,-1.4401692858282196,-1.549533235133851,-0.9136185361760396,-1.5437257509999998
1996-05-22,-1.2783772357525895,-1.5172748682682238,-1.4650912797270377,-0.7905275446043587,-1.5885495506000002
1996-05-29,-1.203714915877358,-1.3023418568468386,-1.39148170390185,-0.8547322575418892,-1.41677100125
1996-06-05,-1.4160818006847753,-1.3600947218945565,-1.6000220758173105,-1.2268151792982809,-1.4657436978
1996-06-12,-1.4092096807277246,-1.3185242520118778,-1.5383412020469105,-1.327719747684657,-1.3739897021999998
1996-06-19,-1.3090106081902355,-1.2040440245205557,-1.4051414325702103,-1.2858027593532824,-1.2595850312
1996-06-26,-1.1285560752861643,-1.1204227640732638,-1.2640079089713816,-0.9560869415854428,-1.2034833976
1996-07-03,-0.8573952332856605,-0.9518394154885212,-0.8970798096287871,-0.7100382826252976,-1.0851346048
1996-07-10,-0.9500401850692,-0.6398710601645549,-1.0002432090058484,-1.1932719447249809,-0.98891819375
1996-07-17,-1.1681437111999324,-1.024206795326175,-1.0939473206376047,-1.41100914782346,-1.2334833935999998
1996-07-24,-1.1976291328160873,-1.175716095604528,-1.2974767474510005,-1.0864120171810954,-1.3081924972
1996-07-31,-1.5255414712211235,-1.3928013849379204,-1.670670380313453,-1.4647763453812206,-1.5267775264
1996-08-07,-1.373398225706023,-1.40769888248138,-1.55250143160716,-1.1002932943958172,-1.5201241680000002
1996-08-14,-1.4815977679102503,-1.4759271736954909,-1.534904301248802,-1.4161929843402743,-1.5025577888
1996-08-21,-1.2252202055022416,-1.305714846944146,-1.4628947654623734,-0.8278261507801602,-1.5380216806
1996-08-28,-1.5055955361321485,-1.4825817415358082,-1.6221525046905956,-1.3732000393172263,-1.538354171
1996-09-04,-1.482187249411742,-1.5057357873149342,-1.7028372854906726,-1.16443866340331,-1.584382477
1996-09-11,-1.4041194213560988,-1.4899502361465768,-1.5288655321466518,-1.151960458844884,-1.5465033826
1996-09-18,-1.17241674062459,-1.4233044017373755,-1.2596034472350204,-0.8052801373645645,-1.5086712484000002
1996-09-25,-1.2252167483490288,-1.532802726788941,-1.2368475155973295,-0.9021230802447152,-1.6435554332
1996-10-02,-1.4619693616207652,-1.5465661792753609,-1.546993799946585,-1.2640066261984102,-1.5597153149999998
1996-10-09,-1.7576017978936371,-1.632366054268935,-1.805636656461375,-1.818791063428021,-1.6517915576
1996-10-16,-1.3346510287440108,-1.3870219578900107,-1.5064584958755032,-1.05320347675602,-1.4623024314
1996-10-23,-1.282580549101534,-1.375930345938056,-1.49636537438515,-0.9041843185535242,-1.471939078
1996-10-30,-1.547780820548882,-1.3990969017708812,-1.7401967244173158,-1.4399102008356388,-1.4317257772
1996-11-06,-1.3156279293923745,-1.388935258147466,-1.4874920410007406,-1.013168451826128,-1.3877830766
1996-11-13,-1.166553522458775,-1.5139216050906128,-1.1815184486780936,-0.7992322048678464,-1.6642377506
1996-11-20,-0.9067974309190436,-1.3689575098624949,-0.9651196235918482,-0.3668744284118538,-1.5097911364
1996-11-27,-1.245604748160023,-1.3621943806947243,-1.4113134951663096,-0.908070119616939,-1.3633766358
1996-12-04,-1.1622598389300078,-1.2098408318106817,-1.2129871386245896,-1.047042446456558,-1.26853058975
1996-12-11,-0.9920933622914818,-1.011739258379894,-1.1001165529070822,-0.8284165453822695,-1.09190968
1996-12-18,-1.0436009310303755,-1.1017372497333222,-1.05339838899052,-0.9724013350472368,-1.2513387206
1996-12-25,-1.000360825967336,-1.3335013833736695,-0.9833757725574874,-0.689867006440801,-1.484649322
1997-01-01,-1.1781217675212332,-1.3075482201759625,-1.1278909883910797,-1.1156696870400418,-1.4051913625
